Глубина манометра;Dшт;Рзаб;Рлин;Руст_2;Рзаб_2;Рлин_2;Туст;Тна шлейфе;Тзаб;Tлин;Дебит ст. конд.;Дебит воды;Дебит смеси;Нэф;Рпл. Тек (послед точка на КВД);Рпл. Тек (Расчет по КВД);Рпл. Тек (Карноухов);Pсб;Ro_c;Удельная плотность газа ;G_total;КГФ
3572.0;9.53;330.0;105.9;237.1;328.7;103.8;31.0;;104.7;38.5;76.6;0.0;;30.0;38.59;51.3;51.7;94.8;780.0;0.662;;251.0
3572.0;11.11;316.0;108.9;222.92;316.1;108.7;37.0;;104.6;45.0;91.8;1.1;;30.0;38.59;51.3;51.7;103.6;780.0;0.662;;236.00000000000003
3572.0;12.7;301.6;101.7;222.92;329.7;108.4;37.0;;104.5;48.2;102.3;2.4;;30.0;38.59;51.3;51.7;98.0;780.0;0.662;;217.0
3588.5;7.94;359.9;100.2;258.0;359.9;100.2;57.0;33.0;105.1;33.2;59.6;1.3;247.23;30.0;40.39;49.4;;97.6;792.0;0.68;;200.0
3588.5;9.53;346.9;98.9;248.0;346.9;98.8;62.0;38.5;104.88;39.0;74.0;2.6;340.13;30.0;40.39;49.4;;95.5;792.0;0.68;;180.0
3588.5;11.11;330.5;94.5;232.0;330.5;93.1;66.0;42.9;104.5;43.3;88.7;3.8;429.84;30.0;40.39;49.4;;90.3;792.0;0.68;;168.99999999999997
3588.5;12.7;314.2;96.9;215.0;314.2;97.0;68.0;47.9;104.0;47.8;98.6;4.7;506.46;30.0;40.39;49.4;;92.0;792.0;0.68;;160.0
3588.5;14.29;297.5;98.2;193.0;297.5;98.3;68.0;51.0;103.4;51.2;109.1;5.7;571.84;30.0;40.39;49.4;;93.2;792.0;0.68;;156.0
3588.5;12.7;306.9;97.2;206.0;306.8;97.6;67.0;;103.76;48.2;94.7;4.5;505.13;30.0;40.39;49.4;;92.5;792.0;0.68;;153.0
;9.53;;100.37;215.0;;100.26;58.0;;;37.54;55.4;0.5;296.33;30.0;;;;92.9;781.0;0.67;;152.0
3478.5;9.53;347.0;93.85;260.0;345.7;94.36;57.0;34.3;106.51;35.29;67.79;5.49;360.53;63.52;39.49;;;87.9;779.8;0.67;;152.0
3478.5;11.11;342.0;94.36;248.0;335.4;94.18;60.0;38.5;106.48;40.52;79.32;5.45;462.62;63.52;39.49;;;87.9;779.8;0.67;;138.0
;12.7;;102.14;200.0;;102.23;66.0;;;48.37;80.9;0.7;492.6;63.5;;;;93.0;776.7;0.67;;131.0
3640.5;6.35;403.0;105.38;270.76;404.8;105.95;47.0;;104.0;22.45;49.43;0.32;191.76;63.3;42.86;50.8;51.2;102.4;784.0;0.68;;212.0
3640.5;9.53;396.6;108.49;244.45;397.3;108.12;59.0;;107.07;36.27;93.85;0.45;401.39;63.3;42.86;50.8;51.2;97.0;792.0;0.68;;193.99999999999997
3640.5;11.11;390.0;107.79;235.66;390.1;108.5;62.0;;105.0;42.72;117.47;1.11;520.72;63.3;42.86;50.8;51.2;103.7;792.0;0.68;;187.0
3640.5;12.7;384.4;110.17;227.86;381.3;110.19;64.0;;104.9;47.99;139.53;0.65;638.48;63.3;42.86;50.8;51.2;103.8;792.0;0.68;;180.0
3667.0;7.94;362.8;95.6;263.0;362.9;95.34;49.0;26.1;105.54;26.44;61.33;1.37;255.25;63.3;39.02;48.3;50.9;93.1;787.0;0.67;;198.0
3667.0;9.53;359.3;96.6;256.0;359.3;97.32;55.0;33.4;105.57;33.69;77.99;3.5;366.86;63.3;39.02;48.3;50.9;92.8;787.0;0.67;;174.0
3667.0;11.11;354.0;98.95;249.0;354.0;100.26;60.0;39.2;105.56;39.67;98.2;3.89;468.66;63.3;39.02;48.3;50.9;94.8;787.0;0.67;;171.0
3667.0;12.7;348.1;100.1;239.0;348.1;100.26;64.0;43.7;105.51;44.07;113.09;5.19;557.65;63.3;39.02;48.3;50.9;95.2;787.0;0.67;;165.0
3667.0;14.29;340.0;102.23;221.0;340.0;100.26;66.0;47.8;105.44;48.17;134.34;6.58;676.53;63.3;39.02;48.3;50.9;96.0;787.0;0.67;;162.0
3670.0;12.7;336.3;102.4;228.0;333.1;102.29;65.1;44.8;105.04;44.74;134.48;6.66;528.67;63.3;37.19;48.0;50.2;95.8;778.8;0.67;;140.0
3668.5;9.53;340.0;94.02;248.0;339.8;94.2;59.0;32.4;104.85;33.51;66.59;1.39;350.55;72.54;36.75;48.4;49.7;88.8;782.53;0.66;;154.0
3668.5;11.11;334.0;95.51;239.0;331.7;95.88;61.0;38.6;104.83;39.29;77.91;2.02;445.72;72.54;36.75;48.4;49.7;88.1;782.53;0.66;;141.0
